従業員番号,苗字,名前,日付,勤怠区分,勤務パターン,開始時刻,終了時刻,休憩開始時刻1,休憩終了時刻1,休憩開始時刻2,休憩終了時刻2,休憩開始時刻3,休憩終了時刻3
06,福島,真依子,2026/04/25,平日,,09:00,17:00,13:00,14:00,,,,
06,福島,真依子,2026/04/26,平日,◯日曜,,,,,,,,
06,福島,真依子,2026/04/27,所定休日,,,,,,,,,
06,福島,真依子,2026/04/28,所定休日,,,,,,,,,
06,福島,真依子,2026/04/29,平日,◯終日,,,,,,,,
06,福島,真依子,2026/04/30,平日,◯午前,,,,,,,,
07,湯本,有美子,2026/04/01,平日,湯本午後,,,,,,,,
07,湯本,有美子,2026/04/02,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/03,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/04,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/05,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/06,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/07,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/08,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/09,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/10,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/11,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/12,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/13,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/14,平日,湯本午後,,,,,,,,
07,湯本,有美子,2026/04/15,平日,湯本午後,,,,,,,,
07,湯本,有美子,2026/04/16,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/17,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/18,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/19,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/20,平日,湯本午後,,,,,,,,
07,湯本,有美子,2026/04/21,平日,湯本午後,,,,,,,,
07,湯本,有美子,2026/04/22,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/23,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/24,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/25,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/26,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/27,平日,湯本午後,,,,,,,,
07,湯本,有美子,2026/04/28,平日,◯午前,,,,,,,,
07,湯本,有美子,2026/04/29,所定休日,,,,,,,,,
07,湯本,有美子,2026/04/30,所定休日,,,,,,,,,
15,野口,由美子,2026/04/01,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/02,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/03,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/04,平日,◯午前（掃除）,,,,,,,,
15,野口,由美子,2026/04/05,所定休日,,,,,,,,,
15,野口,由美子,2026/04/06,所定休日,,,,,,,,,
15,野口,由美子,2026/04/07,所定休日,,,,,,,,,
15,野口,由美子,2026/04/08,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/09,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/10,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/11,平日,◯午前（掃除）,,,,,,,,
15,野口,由美子,2026/04/12,所定休日,,,,,,,,,
15,野口,由美子,2026/04/13,所定休日,,,,,,,,,
15,野口,由美子,2026/04/14,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/15,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/16,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/17,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/18,平日,◯午前（掃除）,,,,,,,,
15,野口,由美子,2026/04/19,所定休日,,,,,,,,,
15,野口,由美子,2026/04/20,所定休日,,,,,,,,,
15,野口,由美子,2026/04/21,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/22,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/23,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/24,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/25,平日,,08:50,17:00,13:00,14:00,,,,
15,野口,由美子,2026/04/26,所定休日,,,,,,,,,
15,野口,由美子,2026/04/27,所定休日,,,,,,,,,
15,野口,由美子,2026/04/28,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/29,平日,◯終日（掃除）,,,,,,,,
15,野口,由美子,2026/04/30,平日,◯終日（掃除）,,,,,,,,
17,小野寺,美桜子,2026/04/01,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/02,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/03,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/04,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/05,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/06,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/07,平日,,,,,,,,,
17,小野寺,美桜子,2026/04/08,平日,,,,,,,,,
